symbol,coinbase_pair,start_date,end_date,days_covered,data_age_group,market_cap,market_cap_rank,market_cap_tier,categories,crypto_family,category_list,family_list,notes,consolidated_categories_list,consolidated_categories
FLOKI,FLOKI-USD,11/21/2024 17:00,7/30/2025 1:00,251,New,1091144909,61,Mid Cap,"Meme, DeFi","Multi Chain, Ethereum, BSC","['Meme', 'DeFi']","['Multi Chain', 'Ethereum', 'BSC']",,"['DeFi', 'Meme & Community Tokens']","DeFi, Meme & Community Tokens"
FARTCOIN,FARTCOIN-USD,6/12/2025 16:00,7/30/2025 1:00,48,New,1060899581,62,Mid Cap,"Meme, Community",Solana,"['Meme', 'Community']",['Solana'],,['Meme & Community Tokens'],Meme & Community Tokens
S,S-USD,6/24/2025 16:00,7/30/2025 3:00,36,New,1057111960,63,Mid Cap,"Gaming, Deflationary Token",Arbitrum,"['Gaming', 'Deflationary Token']",['Arbitrum'],,['Gaming & Metaverse'],Gaming & Metaverse
IMX,IMX-USD,12/9/2021 17:00,7/30/2025 2:00,1329,Established,1049987729,64,Mid Cap,"NFTs, Gaming",Ethereum (Layer-2),"['NFTs', 'Gaming']",['Ethereum (Layer-2)'],,"['NFTs & Digital Collectibles', 'Gaming & Metaverse']","NFTs & Digital Collectibles, Gaming & Metaverse"
GRT,GRT-USD,12/17/2020 17:00,7/30/2025 1:00,1686,Established,1043481839,65,Mid Cap,"Web3, Data Indexing",Ethereum,"['Web3', 'Data Indexing']",['Ethereum'],,['Infrastructure & Data'],Infrastructure & Data
PUMP,PUMP-USD,7/15/2025 13:00,7/30/2025 3:00,15,New,980040387,66,Small Cap,"Meme, Social",Ethereum,"['Meme', 'Social']",['Ethereum'],,['Meme & Community Tokens'],Meme & Community Tokens
WIF,WIF-USD,11/13/2024 20:00,7/30/2025 3:00,259,New,978151475,67,Small Cap,Meme,Ethereum,['Meme'],['Ethereum'],,['Meme & Community Tokens'],Meme & Community Tokens
CAKE,CAKE-USD,6/12/2025 16:00,7/30/2025 0:00,48,New,974308777,68,Small Cap,"DeFi, DEX",BNB Chain,"['DeFi', 'DEX']",['BNB Chain'],,['DeFi'],DeFi
MKR,MKR-USD,6/9/2020 16:00,7/30/2025 2:00,1877,Legacy,950355367,69,Small Cap,"DeFi, Governance",Ethereum,"['DeFi', 'Governance']",['Ethereum'],,['DeFi'],DeFi
PAXG,PAXG-USD,5/8/2025 18:00,7/30/2025 2:00,83,New,934073202,70,Small Cap,"Asset-Backed, Gold",Ethereum,"['Asset-Backed', 'Gold']",['Ethereum'],,['Other / Specialized'],Other / Specialized
ENS,ENS-USD,11/16/2021 17:00,7/30/2025 1:00,1352,Established,929674857,71,Small Cap,"Identity, NFT",Ethereum,"['Identity', 'NFT']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Privacy & Security']","NFTs & Digital Collectibles, Privacy & Security"
MSOL,MSOL-USD,11/3/2022 16:00,7/30/2025 1:00,1000,Established,925417476,72,Small Cap,Liquid Staking,Solana,['Liquid Staking'],['Solana'],,['DeFi'],DeFi
LDO,LDO-USD,11/17/2022 17:00,7/30/2025 2:00,986,Established,917700483,73,Small Cap,"DeFi, Staking",Ethereum,"['DeFi', 'Staking']",['Ethereum'],,['DeFi'],DeFi
SYRUP,SYRUP-USD,3/13/2025 16:00,7/30/2025 3:00,139,New,865641435,74,Small Cap,"DeFi, Lending",Ethereum,"['DeFi', 'Lending']",['Ethereum'],,['DeFi'],DeFi
JASMY,JASMY-USD,10/7/2021 19:00,7/30/2025 2:00,1392,Established,845083324,75,Small Cap,"IoT, Data Marketplace",Ethereum,"['IoT', 'Data Marketplace']",['Ethereum'],,['Infrastructure & Data'],Infrastructure & Data
ZEC,ZEC-USD,12/8/2020 17:00,7/30/2025 4:00,1695,Established,734537519,76,Small Cap,"Privacy, Payments",Independent,"['Privacy', 'Payments']",['Independent'],,"['Privacy & Security', 'Payments & Commerce']","Privacy & Security, Payments & Commerce"
PENDLE,PENDLE-USD,3/27/2025 17:00,7/30/2025 3:00,125,New,728570896,77,Small Cap,"DeFi, Yield",Ethereum,"['DeFi', 'Yield']",['Ethereum'],,['DeFi'],DeFi
AERO,AERO-USD,2/6/2024 17:00,7/30/2025 0:00,540,New,718688540,78,Small Cap,"DeFi, DEX","Optimism, Ethereum Layer-2","['DeFi', 'DEX']","['Optimism', 'Ethereum Layer-2']",,['DeFi'],DeFi
SAND,SAND-USD,5/26/2022 16:00,7/30/2025 3:00,1161,Established,712183014,79,Small Cap,"Metaverse, Gaming",Ethereum,"['Metaverse', 'Gaming']",['Ethereum'],,['Gaming & Metaverse'],Gaming & Metaverse
PYTH,PYTH-USD,2/20/2025 17:00,7/30/2025 3:00,160,New,704913390,80,Small Cap,"Oracle, Data",Solana,"['Oracle', 'Data']",['Solana'],,['Infrastructure & Data'],Infrastructure & Data
XTZ,XTZ-USD,8/6/2019 16:00,7/30/2025 4:00,2185,Legacy,701893482,81,Small Cap,"Smart Contracts, Governance",Tezos ,"['Smart Contracts', 'Governance']",['Tezos'],,['Other / Specialized'],Other / Specialized
JTO,JTO-USD,12/7/2023 16:00,7/30/2025 2:00,601,New,664133039,82,Small Cap,"Liquid Staking, DeFi",Solana,"['Liquid Staking', 'DeFi']",['Solana'],,['DeFi'],DeFi
MANA,MANA-USD,4/20/2021 16:00,7/30/2025 2:00,1562,Established,629650708,83,Small Cap,"Metaverse, Gaming",Ethereum,"['Metaverse', 'Gaming']",['Ethereum'],,['Gaming & Metaverse'],Gaming & Metaverse
FLOW,FLOW-USD,5/19/2022 16:00,7/30/2025 1:00,1168,Established,625654278,84,Small Cap,"Layer-1, NFTs/Gaming",Independent,"['Layer-1', 'NFTs/Gaming']",['Independent'],,"['Layer 1 Blockchains', 'NFTs & Digital Collectibles', 'Gaming & Metaverse']","Layer 1 Blockchains, NFTs & Digital Collectibles, Gaming & Metaverse"
HNT,HNT-USD,7/12/2023 16:00,7/30/2025 2:00,749,Established,592156240,85,Small Cap,"IoT, Wireless",Solana,"['IoT', 'Wireless']",['Solana'],,['Other / Specialized'],Other / Specialized
MORPHO,MORPHO-USD,2/27/2025 17:00,7/30/2025 2:00,153,New,592020487,86,Small Cap,"DeFi, Lending",Ethereum,"['DeFi', 'Lending']",['Ethereum'],,['DeFi'],DeFi
CORECHAIN,CORECHAIN-USD,6/21/2024 16:00,7/30/2025 1:00,404,New,588407000,87,Small Cap,"Layer-1, EVM",Independent,"['Layer-1', 'EVM']",['Independent'],,['Layer 1 Blockchains'],Layer 1 Blockchains
MOG,MOG-USD,12/5/2024 21:00,7/30/2025 2:00,237,New,564594299,88,Small Cap,Meme,Ethereum,['Meme'],['Ethereum'],,['Meme & Community Tokens'],Meme & Community Tokens
CBETH,CBETH-USD,8/25/2022 16:00,7/30/2025 1:00,1070,Established,555127224,89,Small Cap,Liquid Staking,Ethereum,['Liquid Staking'],['Ethereum'],,['DeFi'],DeFi
XCN,XCN-USD,6/28/2022 18:00,7/30/2025 3:00,1128,Established,532012355,90,Small Cap,"Enterprise, Blockchain Services",Ethereum,"['Enterprise', 'Blockchain Services']",['Ethereum'],,['Other / Specialized'],Other / Specialized
ETHFI,ETHFI-USD,2/6/2025 17:00,7/30/2025 1:00,174,New,530044260,91,Small Cap,Liquid Staking,Ethereum,['Liquid Staking'],['Ethereum'],,['DeFi'],DeFi
TUSD,TUSD-USD,6/29/2023 17:00,8/1/2025 20:00,765,Established,492704543,92,Small Cap,Stablecoin,Ethereum,['Stablecoin'],['Ethereum'],,['Stablecoins'],Stablecoins
RSR,RSR-USD,4/22/2025 16:00,7/30/2025 3:00,99,New,487096272,93,Small Cap,"Stablecoin, Governance",Ethereum,"['Stablecoin', 'Governance']",['Ethereum'],,['Stablecoins'],Stablecoins
